timestamp,asset,asset_type,open,high,low,close,adjusted_close,volume,market_cap
2019-08-13,XRP,Cryptocurrency,0.3006,0.30129,0.29295,0.298,0.298,32483448.9,
2019-08-14,XRP,Cryptocurrency,0.29795,0.29864,0.243,0.26353,0.26353,142518597.1,
2019-08-15,XRP,Cryptocurrency,0.26346,0.2707,0.25875,0.26378,0.26378,72594115.1,
2019-08-16,XRP,Cryptocurrency,0.26392,0.26526,0.25395,0.26047,0.26047,66289982.6,
2019-08-17,XRP,Cryptocurrency,0.26029,0.26953,0.25648,0.26546,0.26546,56461024.9,
2019-08-18,XRP,Cryptocurrency,0.26535,0.2919,0.26353,0.2832,0.2832,87006862.6,
2019-08-19,XRP,Cryptocurrency,0.28321,0.29035,0.27558,0.28202,0.28202,69411983.5,
2019-08-20,XRP,Cryptocurrency,0.28195,0.28234,0.2696,0.27432,0.27432,49280235.2,
2019-08-21,XRP,Cryptocurrency,0.27432,0.27448,0.25871,0.26589,0.26589,60607962.3,
2019-08-22,XRP,Cryptocurrency,0.26589,0.27419,0.26028,0.27039,0.27039,58263968.5,
2019-08-23,XRP,Cryptocurrency,0.27038,0.27815,0.26727,0.27664,0.27664,45140229.6,
2019-08-24,XRP,Cryptocurrency,0.27663,0.27726,0.2637,0.27137,0.27137,42809616.8,
2019-08-25,XRP,Cryptocurrency,0.27149,0.27602,0.26597,0.26954,0.26954,45191941.2,
2019-08-26,XRP,Cryptocurrency,0.26961,0.27969,0.26704,0.27051,0.27051,59046898.9,
2019-08-27,XRP,Cryptocurrency,0.27051,0.27065,0.26513,0.26954,0.26954,34119040.9,
2019-08-28,XRP,Cryptocurrency,0.26955,0.26974,0.24765,0.25629,0.25629,55448237.7,
2019-08-29,XRP,Cryptocurrency,0.25614,0.26264,0.247,0.25698,0.25698,74454641.4,
2019-08-30,XRP,Cryptocurrency,0.25712,0.2576,0.25199,0.25539,0.25539,46587713.0,
2019-08-31,XRP,Cryptocurrency,0.25541,0.26047,0.25288,0.25747,0.25747,36321425.5,
2019-09-01,XRP,Cryptocurrency,0.25747,0.25891,0.25,0.25593,0.25593,32881805.2,
2019-09-02,XRP,Cryptocurrency,0.25596,0.26428,0.25295,0.2606,0.2606,60783394.6,
2019-09-03,XRP,Cryptocurrency,0.2606,0.267,0.25751,0.26242,0.26242,56305107.1,
2019-09-04,XRP,Cryptocurrency,0.26252,0.26299,0.25598,0.25843,0.25843,49398294.2,
2019-09-05,XRP,Cryptocurrency,0.25843,0.25937,0.25337,0.25617,0.25617,43270120.3,
2019-09-06,XRP,Cryptocurrency,0.25616,0.25868,0.24692,0.2511,0.2511,63377736.5,
2019-09-07,XRP,Cryptocurrency,0.25115,0.26285,0.25009,0.25993,0.25993,53971229.0,
2019-09-08,XRP,Cryptocurrency,0.25989,0.26591,0.2555,0.26205,0.26205,65033003.6,
2019-09-09,XRP,Cryptocurrency,0.26205,0.26423,0.25634,0.25855,0.25855,58537945.7,
2019-09-10,XRP,Cryptocurrency,0.25869,0.26371,0.2535,0.25859,0.25859,61643971.4,
2019-09-11,XRP,Cryptocurrency,0.25855,0.26092,0.251,0.25519,0.25519,56043242.1,
2019-09-12,XRP,Cryptocurrency,0.25515,0.25686,0.25087,0.25406,0.25406,58547444.6,
2019-09-13,XRP,Cryptocurrency,0.25404,0.256,0.25132,0.2552,0.2552,47599708.2,
2019-09-14,XRP,Cryptocurrency,0.25536,0.26551,0.25389,0.26124,0.26124,70537163.6,
2019-09-15,XRP,Cryptocurrency,0.26125,0.26419,0.25386,0.26022,0.26022,51661196.3,
2019-09-16,XRP,Cryptocurrency,0.26015,0.263,0.25664,0.26098,0.26098,44531031.7,
2019-09-17,XRP,Cryptocurrency,0.26103,0.2985,0.25944,0.28561,0.28561,217381018.1,
2019-09-18,XRP,Cryptocurrency,0.28553,0.32631,0.28493,0.31344,0.31344,300972127.9,
